Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Time,Temp (C),Temp Flag,Dew Point Temp (C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 12:00,2019,10,1,12:00,12.8,,4.2,,55,,11,,5,,48.3,,102.16,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 13:00,2019,10,1,13:00,13.7,,4.8,,55,,13,,14,,48.3,,102.11,,,,,,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 14:00,2019,10,1,14:00,14.3,,4.6,,52,,13,,14,,48.3,,102.07,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 15:00,2019,10,1,15:00,14.5,,4.8,,52,,15,,10,,48.3,,102.01,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 16:00,2019,10,1,16:00,13.3,,7.3,,67,,22,,17,,48.3,,101.96,,,,,,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 17:00,2019,10,1,17:00,12.2,,6.6,,68,,20,,15,,48.3,,101.94,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 18:00,2019,10,1,18:00,11.5,,7.1,,74,,21,,4,,48.3,,101.94,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 19:00,2019,10,1,19:00,10.3,,6.5,,77,,2,,4,,32.2,,101.94,,,,,,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 20:00,2019,10,1,20:00,10.8,,6.8,,76,,10,,10,,32.2,,101.93,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 21:00,2019,10,1,21:00,10.1,,6.6,,79,,10,,9,,32.2,,101.91,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 22:00,2019,10,1,22:00,10.4,,6.8,,78,,8,,8,,32.2,,101.89,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-01 23:00,2019,10,1,23:00,10.1,,6.4,,78,,10,,13,,32.2,,101.89,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 0:00,2019,10,2,0:00,9.8,,5.5,,75,,8,,9,,32.2,,101.88,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 1:00,2019,10,2,1:00,9.1,,5.6,,79,,10,,14,,32.2,,101.9,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 2:00,2019,10,2,2:00,8.9,,5.7,,80,,9,,11,,32.2,,101.87,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 3:00,2019,10,2,3:00,7.4,,5,,85,,10,,12,,32.2,,101.84,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 4:00,2019,10,2,4:00,8.3,,5.7,,84,,9,,15,,32.2,,101.82,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 5:00,2019,10,2,5:00,9,,5.5,,78,,8,,13,,32.2,,101.81,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 6:00,2019,10,2,6:00,8.6,,5.4,,80,,10,,12,,48.3,,101.82,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 7:00,2019,10,2,7:00,9.6,,5.7,,76,,10,,14,,48.3,,101.83,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 8:00,2019,10,2,8:00,10.7,,6.5,,75,,10,,11,,48.3,,101.82,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 9:00,2019,10,2,9:00,12.4,,7.2,,71,,9,,10,,48.3,,101.81,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 10:00,2019,10,2,10:00,13.4,,8.3,,71,,9,,7,,48.3,,101.78,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 11:00,2019,10,2,11:00,14.3,,7.3,,62,,12,,9,,48.3,,101.73,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 12:00,2019,10,2,12:00,15,,6,,55,,11,,8,,48.3,,101.68,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 13:00,2019,10,2,13:00,13.4,,7.9,,69,,25,,12,,48.3,,101.62,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 14:00,2019,10,2,14:00,13.2,,8.9,,75,,30,,9,,48.3,,101.57,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 15:00,2019,10,2,15:00,13.2,,8.1,,71,,29,,9,,48.3,,101.52,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 16:00,2019,10,2,16:00,12.4,,8.9,,79,,30,,9,,48.3,,101.47,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 17:00,2019,10,2,17:00,12,,8.6,,80,,31,,7,,48.3,,101.44,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 18:00,2019,10,2,18:00,11.1,,8.4,,83,,29,,8,,32.2,,101.41,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 19:00,2019,10,2,19:00,11.7,,9.1,,84,,24,,8,,32.2,,101.39,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 20:00,2019,10,2,20:00,11,,8.8,,86,,28,,7,,32.2,,101.4,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 21:00,2019,10,2,21:00,11.2,,8.8,,85,,29,,10,,32.2,,101.4,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 22:00,2019,10,2,22:00,10.9,,7.4,,78,,36,,2,,12.9,,101.46,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-02 23:00,2019,10,2,23:00,10.7,,8.3,,85,,4,,13,,6.4,,101.39,,,,,,"Rain,Fog"
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 0:00,2019,10,3,0:00,11.1,,8.7,,85,,5,,24,,9.7,,101.33,,,,,,"Rain,Fog"
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 1:00,2019,10,3,1:00,11.3,,7.7,,78,,5,,17,,19.3,,101.31,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 2:00,2019,10,3,2:00,11.3,,7.4,,77,,7,,16,,24.1,,101.28,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 3:00,2019,10,3,3:00,10.7,,8,,83,,11,,18,,24.1,,101.27,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 4:00,2019,10,3,4:00,10.7,,8,,83,,8,,18,,24.1,,101.26,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 5:00,2019,10,3,5:00,10.9,,7.5,,80,,8,,18,,24.1,,101.26,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 6:00,2019,10,3,6:00,10.6,,7.8,,83,,9,,21,,24.1,,101.26,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 7:00,2019,10,3,7:00,11.3,,7.4,,77,,9,,20,,24.1,,101.3,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 8:00,2019,10,3,8:00,11.1,,8,,81,,12,,22,,24.1,,101.36,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 9:00,2019,10,3,9:00,11.1,,9.2,,88,,10,,22,,24.1,,101.37,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 10:00,2019,10,3,10:00,12.8,,10.2,,84,,11,,24,,24.1,,101.4,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 11:00,2019,10,3,11:00,13.4,,9.6,,78,,11,,26,,24.1,,101.42,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 12:00,2019,10,3,12:00,13.8,,8,,68,,13,,25,,24.1,,101.42,,,,,,Rain Showers
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 13:00,2019,10,3,13:00,15.1,,8.9,,66,,14,,16,,32.2,,101.4,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 14:00,2019,10,3,14:00,15.1,,7.8,,61,,14,,19,,32.2,,101.39,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 15:00,2019,10,3,15:00,15.6,,8,,60,,13,,14,,32.2,,101.4,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 16:00,2019,10,3,16:00,15.1,,7.7,,61,,9,,12,,32.2,,101.38,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 17:00,2019,10,3,17:00,13.1,,8.5,,73,,10,,19,,32.2,,101.39,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 18:00,2019,10,3,18:00,11.9,,7.2,,73,,7,,16,,32.2,,101.4,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 19:00,2019,10,3,19:00,11.5,,7.1,,74,,6,,17,,32.2,,101.43,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 20:00,2019,10,3,20:00,11.1,,8.2,,82,,10,,19,,32.2,,101.49,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 21:00,2019,10,3,21:00,11,,8.4,,84,,7,,21,,32.2,,101.5,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 22:00,2019,10,3,22:00,10.8,,8.1,,83,,9,,15,,32.2,,101.51,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-03 23:00,2019,10,3,23:00,11.3,,8,,80,,9,,15,,32.2,,101.52,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 0:00,2019,10,4,0:00,11.5,,7.5,,76,,9,,16,,32.2,,101.53,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 1:00,2019,10,4,1:00,11.2,,7.5,,78,,10,,16,,32.2,,101.54,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 2:00,2019,10,4,2:00,11.2,,7.6,,78,,9,,16,,32.2,,101.56,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 3:00,2019,10,4,3:00,10.8,,7.8,,81,,9,,16,,32.2,,101.59,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 4:00,2019,10,4,4:00,10.9,,7.5,,80,,9,,17,,32.2,,101.61,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 5:00,2019,10,4,5:00,11.3,,7.1,,75,,9,,19,,32.2,,101.64,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 6:00,2019,10,4,6:00,11.1,,7.4,,78,,11,,20,,24.1,,101.69,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 7:00,2019,10,4,7:00,9.9,,8.5,,91,,12,,14,,12.9,,101.76,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 8:00,2019,10,4,8:00,10.3,,9.2,,92,,10,,13,,24.1,,101.81,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 9:00,2019,10,4,9:00,10.1,,9,,93,,8,,13,,8.1,,101.86,,,,,,"Rain Showers,Fog"
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 10:00,2019,10,4,10:00,10.4,,8.8,,90,,9,,19,,16.1,,101.92,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 11:00,2019,10,4,11:00,10.1,,8.6,,90,,8,,13,,16.1,,101.98,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 12:00,2019,10,4,12:00,12,,9.9,,87,,8,,18,,24.1,,102.01,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 13:00,2019,10,4,13:00,11.4,,9.1,,85,,9,,13,,24.1,,102.04,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 14:00,2019,10,4,14:00,11.8,,8.8,,82,,10,,10,,24.1,,102.09,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 15:00,2019,10,4,15:00,12,,9.1,,82,,9,,7,,24.1,,102.12,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 16:00,2019,10,4,16:00,11.9,,9.1,,82,,9,,11,,24.1,,102.14,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 17:00,2019,10,4,17:00,11.4,,9.2,,86,,11,,10,,24.1,,102.15,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 18:00,2019,10,4,18:00,10.9,,9.1,,88,,11,,7,,24.1,,102.18,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 19:00,2019,10,4,19:00,10.4,,9.2,,92,,16,,6,,24.1,,102.22,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 20:00,2019,10,4,20:00,10.3,,9.1,,92,,11,,5,,24.1,,102.28,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 21:00,2019,10,4,21:00,10.3,,9.2,,93,,13,,5,,32.2,,102.31,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 22:00,2019,10,4,22:00,10.4,,9.4,,93,,10,,7,,32.2,,102.37,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-04 23:00,2019,10,4,23:00,10,,9.1,,94,,9,,8,,32.2,,102.39,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 0:00,2019,10,5,0:00,9.2,,8.4,,95,,10,,8,,32.2,,102.43,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 1:00,2019,10,5,1:00,9,,8.4,,96,,4,,7,,32.2,,102.45,,,,,,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 2:00,2019,10,5,2:00,8.3,,7.7,,96,,11,,7,,32.2,,102.48,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 3:00,2019,10,5,3:00,8.1,,7.4,,96,,7,,7,,32.2,,102.51,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 4:00,2019,10,5,4:00,7.7,,7.2,,97,,7,,5,,32.2,,102.53,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 5:00,2019,10,5,5:00,8.2,,7.8,,97,,10,,9,,32.2,,102.55,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 6:00,2019,10,5,6:00,9.1,,8.6,,97,,9,,10,,32.2,,102.61,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 7:00,2019,10,5,7:00,9.8,,9,,95,,13,,8,,32.2,,102.67,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 8:00,2019,10,5,8:00,10.8,,9.7,,93,,7,,9,,32.2,,102.71,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 9:00,2019,10,5,9:00,12.4,,9.2,,81,,9,,8,,32.2,,102.77,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 10:00,2019,10,5,10:00,13.6,,9.1,,74,,20,,7,,32.2,,102.84,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 11:00,2019,10,5,11:00,13.2,,10.4,,83,,24,,10,,32.2,,102.85,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 12:00,2019,10,5,12:00,13.1,,10.8,,86,,24,,16,,32.2,,102.86,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 13:00,2019,10,5,13:00,13.5,,9.4,,76,,23,,14,,32.2,,102.84,,,,,,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 14:00,2019,10,5,14:00,13.2,,9.7,,79,,24,,14,,32.2,,102.86,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 15:00,2019,10,5,15:00,13.4,,9.7,,78,,23,,10,,32.2,,102.87,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 16:00,2019,10,5,16:00,13.2,,7.5,,68,,25,,8,,32.2,,102.85,,,,,,Clear
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 17:00,2019,10,5,17:00,12.2,,8.7,,79,,22,,6,,32.2,,102.83,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 18:00,2019,10,5,18:00,11.7,,8.7,,82,,20,,4,,32.2,,102.85,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 19:00,2019,10,5,19:00,10.8,,8.1,,83,,17,,5,,32.2,,102.88,,,,,,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 20:00,2019,10,5,20:00,8.5,,6.6,,88,,,,0,,32.2,,102.91,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 21:00,2019,10,5,21:00,8.9,,6.7,,86,,8,,7,,32.2,,102.94,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 22:00,2019,10,5,22:00,9.2,,7.3,,87,,8,,5,,32.2,,102.96,,,,,,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-05 23:00,2019,10,5,23:00,9.1,,6.8,,86,,7,,8,,32.2,,102.96,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 0:00,2019,10,6,0:00,7.2,,6.3,,94,,13,,9,,32.2,,102.97,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 1:00,2019,10,6,1:00,8.2,,6.9,,91,,7,,8,,32.2,,103,,,,,,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 2:00,2019,10,6,2:00,7.6,,6.4,,93,,9,,9,,32.2,,102.99,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 3:00,2019,10,6,3:00,8.3,,7.1,,92,,6,,11,,32.2,,102.94,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 4:00,2019,10,6,4:00,8.1,,6.7,,91,,8,,10,,32.2,,102.93,,,,,,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 5:00,2019,10,6,5:00,6.4,,5.5,,94,,8,,9,,32.2,,102.91,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 6:00,2019,10,6,6:00,6.8,,5.7,,92,,9,,4,,32.2,,102.87,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 7:00,2019,10,6,7:00,6.7,,6,,95,,22,,7,,32.2,,102.88,,,,,,Mainly Clear
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 8:00,2019,10,6,8:00,9,,7.5,,91,,16,,3,,24.1,,102.85,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 9:00,2019,10,6,9:00,10,,7.9,,87,,22,,4,,24.1,,102.83,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 10:00,2019,10,6,10:00,12,,9.2,,83,,36,,3,,24.1,,102.79,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 11:00,2019,10,6,11:00,12.6,,9.1,,79,,25,,8,,24.1,,102.75,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 12:00,2019,10,6,12:00,12.1,,8.7,,80,,25,,11,,24.1,,102.68,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 13:00,2019,10,6,13:00,12.6,,9.3,,80,,29,,10,,24.1,,102.61,,,,,,Mostly Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 14:00,2019,10,6,14:00,12.1,,8.9,,81,,26,,11,,24.1,,102.53,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 15:00,2019,10,6,15:00,11.9,,9.4,,85,,29,,10,,24.1,,102.45,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 16:00,2019,10,6,16:00,11.6,,9,,84,,29,,9,,24.1,,102.39,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 17:00,2019,10,6,17:00,11.3,,8.8,,84,,30,,10,,24.1,,102.31,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 18:00,2019,10,6,18:00,10.9,,9.3,,90,,33,,8,,32.2,,102.21,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 19:00,2019,10,6,19:00,11.3,,8.8,,85,,21,,3,,32.2,,102.19,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 20:00,2019,10,6,20:00,11.1,,9.7,,91,,29,,6,,32.2,,102.15,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 21:00,2019,10,6,21:00,11.3,,8.9,,85,,35,,4,,32.2,,102.08,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 22:00,2019,10,6,22:00,12.1,,8.8,,81,,6,,8,,32.2,,102.02,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-06 23:00,2019,10,6,23:00,11.6,,9.9,,89,,5,,4,,32.2,,101.99,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 0:00,2019,10,7,0:00,11.5,,10.3,,92,,7,,10,,24.1,,101.93,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 1:00,2019,10,7,1:00,11.4,,10.1,,92,,7,,13,,24.1,,101.84,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 2:00,2019,10,7,2:00,11,,10,,94,,10,,10,,24.1,,101.79,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 3:00,2019,10,7,3:00,10.6,,9.9,,96,,10,,21,,16.1,,101.72,,,,,,Moderate Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 4:00,2019,10,7,4:00,10.5,,9.8,,96,,9,,22,,12.9,,101.66,,,,,,Moderate Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 5:00,2019,10,7,5:00,10.1,,9.4,,96,,8,,21,,16.1,,101.59,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 6:00,2019,10,7,6:00,10.2,,9.3,,94,,6,,14,,24.1,,101.5,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 7:00,2019,10,7,7:00,10.6,,9.5,,93,,8,,20,,19.3,,101.42,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 8:00,2019,10,7,8:00,10.8,,9.8,,93,,8,,17,,19.3,,101.36,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 9:00,2019,10,7,9:00,11,,10.2,,95,,7,,18,,16.1,,101.28,,,,,,Rain
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 10:00,2019,10,7,10:00,11.4,,10.5,,95,,9,,23,,19.3,,101.2,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 11:00,2019,10,7,11:00,11.7,,10.7,,93,,8,,19,,19.3,,101.15,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 12:00,2019,10,7,12:00,12.3,,11.1,,92,,9,,13,,19.3,,101.05,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 13:00,2019,10,7,13:00,13.6,,11.8,,89,,10,,10,,19.3,,100.99,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 14:00,2019,10,7,14:00,13.8,,12.1,,90,,9,,14,,24.1,,100.9,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 15:00,2019,10,7,15:00,13.9,,12.4,,90,,7,,17,,24.1,,100.83,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 16:00,2019,10,7,16:00,14.2,,12.4,,88,,7,,12,,24.1,,100.73,,,,,,Cloudy
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 17:00,2019,10,7,17:00,15.5,,11.3,,76,,22,,12,,24.1,,100.7,,,,,,NA
-123.18,49.19,VANCOUVER INTL A,1108395,19-10-07 18:00,2019,10,7,18:00,12.3,,10.4,,88,,27,,43,,32.2,,100.68,,,,,,NA
