Date/Time,Year,Month,Day,Data Quality,Max Temp,Max Temp Flag,Min Temp,Min Temp Flag,Mean Temp,Mean Temp Flag,Heat Deg Days,Heat Deg Days Flag,Cool Deg Days,Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm)
03-02-17,2003,2,17,,9.9,,3.9,,6.9,,11.1,,0,,3.2,,0,,3.2
03-02-18,2003,2,18,,7.5,,1.4,,4.5,,13.5,,0,,0.4,,0,,0.4
03-02-19,2003,2,19,,8.4,,5.7,,7.1,,10.9,,0,,3.4,,0,,3.4
03-02-20,2003,2,20,,8.4,,4.8,,6.6,,11.4,,0,,9,,0,,9
03-02-21,2003,2,21,,10.2,,3.6,,6.9,,11.1,,0,,1.2,,0,,1.2
03-02-22,2003,2,22,,8.5,,2,,5.3,,12.7,,0,,0,,0,,0
03-02-23,2003,2,23,,7.2,,-2.1,,2.6,,15.4,,0,,0,,0,,0
03-02-24,2003,2,24,,6,,-3.7,,1.2,,16.8,,0,,0,,0,,0
03-02-25,2003,2,25,,5.9,,-3,,1.5,,16.5,,0,,0,,0,,0
03-02-26,2003,2,26,,7.9,,0.8,,4.4,,13.6,,0,,0,,0,,0
03-02-27,2003,2,27,,8.8,,-1.7,,3.6,,14.4,,0,,0,,0,,0
03-02-28,2003,2,28,,7.4,,2.5,,5,,13,,0,,1.6,,0,,1.6
03-03-01,2003,3,1,,8.5,,-1.4,,3.6,,14.4,,0,,0,,0,,0
03-03-02,2003,3,2,,7.1,,2.3,,4.7,,13.3,,0,,1.2,,0,,1.2
03-03-03,2003,3,3,,8.5,,1.3,,4.9,,13.1,,0,,0,,0,,0
03-03-04,2003,3,4,,8.8,,4.4,,6.6,,11.4,,0,,0,T,0,,0
03-03-05,2003,3,5,,9.6,,4.9,,7.3,,10.7,,0,,0.2,,0,,0.2
03-03-06,2003,3,6,,10.1,,0.6,,5.4,,12.6,,0,,0,,0,,0
03-03-07,2003,3,7,,4.5,,-2.2,,1.2,,16.8,,0,,0,,0.4,,0.4
03-03-08,2003,3,8,,4.2,,0.1,,2.2,,15.8,,0,,0,,2.1,,2.1
03-03-09,2003,3,9,,6.2,,0.2,,3.2,,14.8,,0,,12.4,,1.2,,13.6
03-03-10,2003,3,10,,13.5,,6.2,,9.9,,8.1,,0,,1,,0,,1
03-03-11,2003,3,11,,9.8,,6.5,,8.2,,9.8,,0,,4.1,,0,,4.1
03-03-12,2003,3,12,,13.1,,4.8,,9,,9,,0,,21.7,,0,,21.7
03-03-13,2003,3,13,,13.3,,9.8,,11.6,,6.4,,0,,10.9,,0,,10.9
03-03-14,2003,3,14,,13.6,,9.2,,11.4,,6.6,,0,,2,,0,,2
03-03-15,2003,3,15,,14.1,,8,,11.1,,6.9,,0,,5.6,,0,,5.6
03-03-16,2003,3,16,,12,,5.9,,9,,9,,0,,2,,0,,2
03-03-17,2003,3,17,,11.4,,2.2,,6.8,,11.2,,0,,0.9,,0,,0.9
03-03-18,2003,3,18,,10.6,,3.3,,7,,11,,0,,1.8,,0,,1.8
03-03-19,2003,3,19,,9.5,,2.6,,6.1,,11.9,,0,,11.8,,0,,11.8
03-03-20,2003,3,20,,12.6,,7.3,,10,,8,,0,,1.8,,0,,1.8
03-03-21,2003,3,21,,10.4,,6.9,,8.7,,9.3,,0,,13,,0,,13
03-03-22,2003,3,22,,11.3,,6.9,,9.1,,8.9,,0,,10.6,,0,,10.6
03-03-23,2003,3,23,,9.7,,3.3,,6.5,,11.5,,0,,3.8,,0,,3.8
03-03-24,2003,3,24,,9.7,,0.3,,5,,13,,0,,0.3,,0,,0.3
03-03-25,2003,3,25,,12.9,,2.6,,7.8,,10.2,,0,,2,,0,,2
03-03-26,2003,3,26,,11.5,,4.1,,7.8,,10.2,,0,,8.2,,0,,8.2
03-03-27,2003,3,27,,11.2,,4.9,,8.1,,9.9,,0,,4.4,,0,,4.4
03-03-28,2003,3,28,,10.9,,3,,7,,11,,0,,0,,0,,0
03-03-29,2003,3,29,,11.7,,8,,9.9,,8.1,,0,,0.3,,0,,0.3
03-03-30,2003,3,30,,11.4,,8.5,,10,,8,,0,,8.4,,0,,8.4
03-03-31,2003,3,31,,11.3,,4.6,,8,,10,,0,,1.6,,0,,1.6
03-04-01,2003,4,1,,9.5,,4,,6.8,,11.2,,0,,0.2,,0,,0.2
03-04-02,2003,4,2,,10.6,,4,,7.3,,10.7,,0,,1.8,,0,,1.8
03-04-03,2003,4,3,,10.2,,3.2,,6.7,,11.3,,0,,15.4,,0,,15.4
03-04-04,2003,4,4,,8.7,,2.6,,5.7,,12.3,,0,,5.6,,0.2,,5.8
03-04-05,2003,4,5,,8,,2.6,,5.3,,12.7,,0,,7.9,,0,,7.9
03-04-06,2003,4,6,,10.2,,3.6,,6.9,,11.1,,0,,1.4,,0,,1.4
03-04-07,2003,4,7,,10.4,,6.2,,8.3,,9.7,,0,,28.8,,0,,28.8
03-04-08,2003,4,8,,13.4,,7.5,,10.5,,7.5,,0,,7.2,,0,,7.2
03-04-09,2003,4,9,,12.7,,4.6,,8.7,,9.3,,0,,3.2,,0,,3.2
03-04-10,2003,4,10,,14.2,,5.8,,10,,8,,0,,0.2,,0,,0.2
03-04-11,2003,4,11,,14.9,,7.9,,11.4,,6.6,,0,,1.5,,0,,1.5
03-04-12,2003,4,12,,11.2,,7.5,,9.4,,8.6,,0,,0,T,0,,0
03-04-13,2003,4,13,,9.8,,4.7,,7.3,,10.7,,0,,9.6,,0,,9.6
03-04-14,2003,4,14,,13.1,,7.3,,10.2,,7.8,,0,,2.4,,0,,2.4
03-04-15,2003,4,15,,13.1,,6.6,,9.9,,8.1,,0,,2.4,,0,,2.4
03-04-16,2003,4,16,,12.1,,6.2,,9.2,,8.8,,0,,0.2,,0,,0.2
03-04-17,2003,4,17,,12.4,,5.1,,8.8,,9.2,,0,,1.4,,0,,1.4
03-04-18,2003,4,18,,12.7,,5.7,,9.2,,8.8,,0,,3.2,,0,,3.2
03-04-19,2003,4,19,,12.8,,7.3,,10.1,,7.9,,0,,1.4,,0,,1.4
03-04-20,2003,4,20,,17.8,,7.4,,12.6,,5.4,,0,,1,,0,,1
03-04-21,2003,4,21,,12,,8.9,,10.5,,7.5,,0,,1,,0,,1
03-04-22,2003,4,22,,14.8,,6.9,,10.9,,7.1,,0,,0,,0,,0
03-04-23,2003,4,23,,10.5,,6.5,,8.5,,9.5,,0,,19.4,,0,,19.4
03-04-24,2003,4,24,,8.6,,6.2,,7.4,,10.6,,0,,24.4,,0,,24.4
03-04-25,2003,4,25,,11.7,,5.8,,8.8,,9.2,,0,,0,T,0,,0
03-04-26,2003,4,26,,13.9,,5.4,,9.7,,8.3,,0,,0,,0,,0
03-04-27,2003,4,27,,14.4,,8.4,,11.4,,6.6,,0,,0,T,0,,0
03-04-28,2003,4,28,,16,,4.6,,10.3,,7.7,,0,,0,,0,,0
03-04-29,2003,4,29,,18.1,,7.5,,12.8,,5.2,,0,,0,,0,,0
03-04-30,2003,4,30,,18,,8.8,,13.4,,4.6,,0,,0,,0,,0
03-05-01,2003,5,1,,16.9,,8.9,,12.9,,5.1,,0,,0,,0,,0
03-05-02,2003,5,2,,16.2,,8.6,,12.4,,5.6,,0,,0,T,0,,0
03-05-03,2003,5,3,,13.3,,8.2,,10.8,,7.2,,0,,0,,0,,0
03-05-04,2003,5,4,,11.8,,7.4,,9.6,,8.4,,0,,6.7,,0,,6.7
03-05-05,2003,5,5,,12.7,,7.4,,10.1,,7.9,,0,,0,,0,,0
03-05-06,2003,5,6,,13.5,,3.7,,8.6,,9.4,,0,,0,,0,,0
03-05-07,2003,5,7,,14.5,,5,,9.8,,8.2,,0,,0,,0,,0
03-05-08,2003,5,8,,16,,6.2,,11.1,,6.9,,0,,0,,0,,0
03-05-09,2003,5,9,,16.2,,8.2,,12.2,,5.8,,0,,0,,0,,0
03-05-10,2003,5,10,,17.4,,8.9,,13.2,,4.8,,0,,0,,0,,0
03-05-11,2003,5,11,,17.6,,8.4,,13,,5,,0,,0,,0,,0
03-05-12,2003,5,12,,17,,8.1,,12.6,,5.4,,0,,0,,0,,0
03-05-13,2003,5,13,,17.8,,7.7,,12.8,,5.2,,0,,0,,0,,0
03-05-14,2003,5,14,,15.7,,9.7,,12.7,,5.3,,0,,3.2,,0,,3.2
03-05-15,2003,5,15,,12,,5.3,,8.7,,9.3,,0,,1.4,,0,,1.4
03-05-16,2003,5,16,,12.9,,5.5,,9.2,,8.8,,0,,4.2,,0,,4.2
03-05-17,2003,5,17,,12,,5.2,,8.6,,9.4,,0,,11,,0,,11
03-05-18,2003,5,18,,15.3,,7.6,,11.5,,6.5,,0,,0,,0,,0
03-05-19,2003,5,19,,18.4,,5.4,,11.9,,6.1,,0,,0,,0,,0
03-05-20,2003,5,20,,14.1,,11.1,,12.6,,5.4,,0,,2,,0,,2
03-05-21,2003,5,21,,17.1,,10.1,,13.6,,4.4,,0,,1.6,,0,,1.6
03-05-22,2003,5,22,,15.3,,12,,13.7,,4.3,,0,,12.8,,0,,12.8
03-05-23,2003,5,23,,19.3,,12.8,,16.1,,1.9,,0,,0.2,,0,,0.2
03-05-24,2003,5,24,,19,,13.8,,16.4,,1.6,,0,,3.6,,0,,3.6
03-05-25,2003,5,25,,17.1,,9.8,,13.5,,4.5,,0,,2.6,,0,,2.6
03-05-26,2003,5,26,,18.6,,7.4,,13,,5,,0,,0,T,0,,0
03-05-27,2003,5,27,,21.7,,12.3,,17,,1,,0,,0,T,0,,0
03-05-28,2003,5,28,,21.3,,12,,16.7,,1.3,,0,,0,T,0,,0
03-05-29,2003,5,29,,18.9,,9.5,,14.2,,3.8,,0,,0,,0,,0
03-05-30,2003,5,30,,21.5,,11.6,,16.6,,1.4,,0,,0,,0,,0
03-05-31,2003,5,31,,19,,12,,15.5,,2.5,,0,,0,,0,,0
03-06-01,2003,6,1,,18.7,,12.1,,15.4,,2.6,,0,,0,,0,,0
03-06-02,2003,6,2,,16.8,,11.3,,14.1,,3.9,,0,,0,,0,,0
03-06-03,2003,6,3,,19,,8.4,,13.7,,4.3,,0,,0,,0,,0
03-06-04,2003,6,4,,21.1,,11.5,,16.3,,1.7,,0,,0,,0,,0
03-06-05,2003,6,5,,24.8,,13.3,,19.1,,0,,1.1,,0,,0,,0
03-06-06,2003,6,6,,26.2,,15.4,,20.8,,0,,2.8,,0,,0,,0
03-06-07,2003,6,7,,24.5,,16.4,,20.5,,0,,2.5,,0,,0,,0
03-06-08,2003,6,8,,20.2,,14,,17.1,,0.9,,0,,0,,0,,0
03-06-09,2003,6,9,,20.7,,12.6,,16.7,,1.3,,0,,0,,0,,0
03-06-10,2003,6,10,,19,,13.8,,16.4,,1.6,,0,,0,,0,,0
03-06-11,2003,6,11,,19.8,,12.8,,16.3,,1.7,,0,,0,,0,,0
03-06-12,2003,6,12,,17.5,,11.8,,14.7,,3.3,,0,,0.4,,0,,0.4
03-06-13,2003,6,13,,19.3,,13.5,,16.4,,1.6,,0,,0.8,,0,,0.8
03-06-14,2003,6,14,,19.6,,11.5,,15.6,,2.4,,0,,0.4,,0,,0.4
03-06-15,2003,6,15,,20.9,,11.5,,16.2,,1.8,,0,,0.2,,0,,0.2
03-06-16,2003,6,16,,22.3,,11.3,,16.8,,1.2,,0,,0,,0,,0
03-06-17,2003,6,17,,26.6,,12.7,,19.7,,0,,1.7,,0,,0,,0
03-06-18,2003,6,18,,20.7,,13.1,,16.9,,1.1,,0,,0,,0,,0
03-06-19,2003,6,19,,19.3,,10.2,,14.8,,3.2,,0,,0,T,0,,0
03-06-20,2003,6,20,,14.6,,11.3,,13,,5,,0,,2,,0,,2
03-06-21,2003,6,21,,17.9,,10.4,,14.2,,3.8,,0,,0.4,,0,,0.4
03-06-22,2003,6,22,,18.7,,11.4,,15.1,,2.9,,0,,1.8,,0,,1.8
03-06-23,2003,6,23,,18.5,,10.7,,14.6,,3.4,,0,,0.4,,0,,0.4
03-06-24,2003,6,24,,22.2,,10.3,,16.3,,1.7,,0,,0,,0,,0
03-06-25,2003,6,25,,23.3,,10.9,,17.1,,0.9,,0,,0,,0,,0
03-06-26,2003,6,26,,24,,13,,18.5,,0,,0.5,,0,,0,,0
03-06-27,2003,6,27,,23.2,,16.1,,19.7,,0,,1.7,,0,,0,,0
03-06-28,2003,6,28,,26.1,,13.4,,19.8,,0,,1.8,,0,,0,,0
03-06-29,2003,6,29,,22.7,,16.2,,19.5,,0,,1.5,,0.4,,0,,0.4
03-06-30,2003,6,30,,20.9,,13.9,,17.4,,0.6,,0,,6,,0,,6
03-07-01,2003,7,1,,19.5,,12.8,,16.2,,1.8,,0,,0,,0,,0
03-07-02,2003,7,2,,19.6,,10.5,,15.1,,2.9,,0,,0,,0,,0
03-07-03,2003,7,3,,22.2,,10.9,,16.6,,1.4,,0,,0,,0,,0
03-07-04,2003,7,4,,22.6,,12,,17.3,,0.7,,0,,0.2,,0,,0.2
03-07-05,2003,7,5,,22.6,,16,,19.3,,0,,1.3,,0,,0,,0
03-07-06,2003,7,6,,23.1,,13.5,,18.3,,0,,0.3,,0,,0,,0
03-07-07,2003,7,7,,24.7,,12.8,,18.8,,0,,0.8,,0,,0,,0
03-07-08,2003,7,8,,19.6,,13,,16.3,,1.7,,0,,0,,0,,0
03-07-09,2003,7,9,,23.9,,14.3,,19.1,,0,,1.1,,0,,0,,0
03-07-10,2003,7,10,,27.1,,14.1,,20.6,,0,,2.6,,0,,0,,0
03-07-11,2003,7,11,,26.3,,14.6,,20.5,,0,,2.5,,0,,0,,0
03-07-12,2003,7,12,,23.9,,15.4,,19.7,,0,,1.7,,12,,0,,12
03-07-13,2003,7,13,,20.8,,15.1,,18,,0,,0,,2.8,,0,,2.8
03-07-14,2003,7,14,,22.2,,13.9,,18.1,,0,,0.1,,4.2,,0,,4.2
03-07-15,2003,7,15,,22.8,,16.1,,19.5,,0,,1.5,,0,,0,,0
03-07-16,2003,7,16,,21.7,,13.5,,17.6,,0.4,,0,,0,,0,,0
03-07-17,2003,7,17,,23.5,,11.9,,17.7,,0.3,,0,,0,,0,,0
03-07-18,2003,7,18,,25.2,,13.4,,19.3,,0,,1.3,,0,,0,,0
03-07-19,2003,7,19,,27.9,,13.5,,20.7,,0,,2.7,,0,,0,,0
03-07-20,2003,7,20,,27.4,,16.9,,22.2,,0,,4.2,,0.6,,0,,0.6
03-07-21,2003,7,21,,26.1,,17.2,,21.7,,0,,3.7,,0,,0,,0
03-07-22,2003,7,22,,24.2,,17.3,,20.8,,0,,2.8,,0,,0,,0
03-07-23,2003,7,23,,22.5,,16,,19.3,,0,,1.3,,0,,0,,0
03-07-24,2003,7,24,,21.4,,14.7,,18.1,,0,,0.1,,0,,0,,0
03-07-25,2003,7,25,,22.8,,13.5,,18.2,,0,,0.2,,0,,0,,0
03-07-26,2003,7,26,,24.2,,14.3,,19.3,,0,,1.3,,0,,0,,0
03-07-27,2003,7,27,,23.9,,15,,19.5,,0,,1.5,,0,,0,,0
03-07-28,2003,7,28,,25.1,,16.4,,20.8,,0,,2.8,,0,,0,,0
03-07-29,2003,7,29,,26.7,,16.7,,21.7,,0,,3.7,,0,,0,,0
03-07-30,2003,7,30,,26,,18.1,,22.1,,0,,4.1,,0,,0,,0
03-07-31,2003,7,31,,25.3,,15.9,,20.6,,0,,2.6,,0,,0,,0
03-08-01,2003,8,1,,23,,12.6,,17.8,,0.2,,0,,0,,0,,0
03-08-02,2003,8,2,,23.1,,12.6,,17.9,,0.1,,0,,0,,0,,0
03-08-03,2003,8,3,,24.5,,13.2,,18.9,,0,,0.9,,0,,0,,0
03-08-04,2003,8,4,,23,,13.8,,18.4,,0,,0.4,,0,,0,,0
03-08-05,2003,8,5,,26.1,,14.8,,20.5,,0,,2.5,,0,,0,,0
03-08-06,2003,8,6,,22.1,,14.4,,18.3,,0,,0.3,,3.2,,0,,3.2
03-08-07,2003,8,7,,23.3,,13.5,,18.4,,0,,0.4,,0,,0,,0
03-08-08,2003,8,8,,23.2,,15.3,,19.3,,0,,1.3,,0.4,,0,,0.4
03-08-09,2003,8,9,,22.6,,14.8,,18.7,,0,,0.7,,0.2,,0,,0.2
03-08-10,2003,8,10,,23.8,,14.3,,19.1,,0,,1.1,,0,,0,,0
03-08-11,2003,8,11,,23.2,,15.2,,19.2,,0,,1.2,,0.3,,0,,0.3
03-08-12,2003,8,12,,21.7,,13.6,,17.7,,0.3,,0,,0,,0,,0
03-08-13,2003,8,13,,24,,12.9,,18.5,,0,,0.5,,0,,0,,0
03-08-14,2003,8,14,,24.8,,14.4,,19.6,,0,,1.6,,0,,0,,0
03-08-15,2003,8,15,,26.3,,14.1,,20.2,,0,,2.2,,0,,0,,0
03-08-16,2003,8,16,,22.5,,14.2,,18.4,,0,,0.4,,0,,0,,0
03-08-17,2003,8,17,,25.3,,15.4,,20.4,,0,,2.4,,0,,0,,0
03-08-18,2003,8,18,,23.7,,15.3,,19.5,,0,,1.5,,0,,0,,0
03-08-19,2003,8,19,,22.2,,16.2,,19.2,,0,,1.2,,0,,0,,0
03-08-20,2003,8,20,,21.4,,13.7,,17.6,,0.4,,0,,0,,0,,0
03-08-21,2003,8,21,,24.6,,13,,18.8,,0,,0.8,,0,,0,,0
03-08-22,2003,8,22,,21.5,,13.7,,17.6,,0.4,,0,,0,,0,,0
03-08-23,2003,8,23,,20,,11.6,,15.8,,2.2,,0,,0,,0,,0
03-08-24,2003,8,24,,21.8,,9.7,,15.8,,2.2,,0,,0,,0,,0
03-08-25,2003,8,25,,21.9,,15.3,,18.6,,0,,0.6,,0,,0,,0
03-08-26,2003,8,26,,22.8,,14.9,,18.9,,0,,0.9,,0,,0,,0
03-08-27,2003,8,27,,21.8,,13.9,,17.9,,0.1,,0,,0,,0,,0
03-08-28,2003,8,28,,22.7,,13.4,,18.1,,0,,0.1,,0,,0,,0
03-08-29,2003,8,29,,23.6,,13.6,,18.6,,0,,0.6,,0,,0,,0
03-08-30,2003,8,30,,25.7,,13.9,,19.8,,0,,1.8,,0,,0,,0
03-08-31,2003,8,31,,21.8,,15.4,,18.6,,0,,0.6,,0,,0,,0
03-09-01,2003,9,1,,20.1,,13.1,,16.6,,1.4,,0,,0,,0,,0
03-09-02,2003,9,2,,22.2,,14.4,,18.3,,0,,0.3,,0,,0,,0
03-09-03,2003,9,3,,23.1,,14.2,,18.7,,0,,0.7,,0,,0,,0
03-09-04,2003,9,4,,27.2,,13.7,,20.5,,0,,2.5,,0,,0,,0
03-09-05,2003,9,5,,27.4,,12.9,,20.2,,0,,2.2,,0,,0,,0
03-09-06,2003,9,6,,25.4,,12.7,,19.1,,0,,1.1,,4.2,,0,,4.2
03-09-07,2003,9,7,,20.2,,13.7,,17,,1,,0,,9,,0,,9
03-09-08,2003,9,8,,20.3,,12.2,,16.3,,1.7,,0,,0,T,0,,0
03-09-09,2003,9,9,,20.5,,12.1,,16.3,,1.7,,0,,0,T,0,,0
03-09-10,2003,9,10,,16.4,,12.9,,14.7,,3.3,,0,,6.8,,0,,6.8
03-09-11,2003,9,11,,20.4,,13.5,,17,,1,,0,,0,,0,,0
03-09-12,2003,9,12,,18.6,,10,,14.3,,3.7,,0,,0,,0,,0
03-09-13,2003,9,13,,21.1,,9.5,,15.3,,2.7,,0,,0,,0,,0
03-09-14,2003,9,14,,17.8,,12,,14.9,,3.1,,0,,3.8,,0,,3.8
03-09-15,2003,9,15,,17.8,,10.2,,14,,4,,0,,0,,0,,0
03-09-16,2003,9,16,,16,,11,,13.5,,4.5,,0,,0.2,,0,,0.2
03-09-17,2003,9,17,,15.8,,10.2,,13,,5,,0,,8.2,,0,,8.2
03-09-18,2003,9,18,,14.5,,11.5,,13,,5,,0,,8,,0,,8
03-09-19,2003,9,19,,18.9,,10.2,,14.6,,3.4,,0,,0,,0,,0
03-09-20,2003,9,20,,17.6,,9.9,,13.8,,4.2,,0,,0,,0,,0
03-09-21,2003,9,21,,17.5,,8.1,,12.8,,5.2,,0,,0,,0,,0
03-09-22,2003,9,22,,20.4,,10.2,,15.3,,2.7,,0,,0,,0,,0
03-09-23,2003,9,23,,18.6,,12.8,,15.7,,2.3,,0,,0,,0,,0
03-09-24,2003,9,24,,19.4,,10.2,,14.8,,3.2,,0,,0,,0,,0
03-09-25,2003,9,25,,18.7,,10.4,,14.6,,3.4,,0,,0,,0,,0
03-09-26,2003,9,26,,19.1,,10.6,,14.9,,3.1,,0,,0,,0,,0
03-09-27,2003,9,27,,20.3,,12.9,,16.6,,1.4,,0,,0,,0,,0
03-09-28,2003,9,28,,22.7,,12.6,,17.7,,0.3,,0,,0,,0,,0
03-09-29,2003,9,29,,21.6,,10.4,,16,,2,,0,,0,,0,,0
03-09-30,2003,9,30,,17.8,,12.8,,15.3,,2.7,,0,,0,,0,,0
03-10-01,2003,10,1,,18,,9.6,,13.8,,4.2,,0,,0,,0,,0
03-10-02,2003,10,2,,15.2,,9.6,,12.4,,5.6,,0,,0,,0,,0
03-10-03,2003,10,3,,14.6,,10.3,,12.5,,5.5,,0,,0,,0,,0
03-10-04,2003,10,4,,15,,11.2,,13.1,,4.9,,0,,0,,0,,0
03-10-05,2003,10,5,,14.6,,11.6,,13.1,,4.9,,0,,0,T,0,,0
03-10-06,2003,10,6,,15.9,,13.2,,14.6,,3.4,,0,,18,,0,,18
03-10-07,2003,10,7,,18.6,,10.9,,14.8,,3.2,,0,,1.2,,0,,1.2
03-10-08,2003,10,8,,16.9,,11.4,,14.2,,3.8,,0,,4,,0,,4
03-10-09,2003,10,9,,13.8,,8.9,,11.4,,6.6,,0,,0.8,,0,,0.8
03-10-10,2003,10,10,,15.3,,8.9,,12.1,,5.9,,0,,0.4,,0,,0.4
03-10-11,2003,10,11,,11.4,,9.6,,10.5,,7.5,,0,,12.2,,0,,12.2
03-10-12,2003,10,12,,14.9,,10.6,,12.8,,5.2,,0,,7,,0,,7
03-10-13,2003,10,13,,13.5,,7.1,,10.3,,7.7,,0,,0,,0,,0
03-10-14,2003,10,14,,12.9,,6.8,,9.9,,8.1,,0,,0,,0,,0
03-10-15,2003,10,15,,10.2,,5.5,,7.9,,10.1,,0,,12.8,,0,,12.8
03-10-16,2003,10,16,,14.1,,8.8,,11.5,,6.5,,0,,85,,0,,85
03-10-17,2003,10,17,,16.6,,13.3,,15,,3,,0,,55.8,,0,,55.8
03-10-18,2003,10,18,,16.6,,13.5,,15.1,,2.9,,0,,0.6,,0,,0.6
03-10-19,2003,10,19,,17.8,,12.1,,15,,3,,0,,6,,0,,6
03-10-20,2003,10,20,,19.5,,12.2,,15.9,,2.1,,0,,25.4,,0,,25.4
03-10-21,2003,10,21,,17.9,,12.4,,15.2,,2.8,,0,,4.4,,0,,4.4
03-10-22,2003,10,22,,17.2,,10.6,,13.9,,4.1,,0,,4.2,,0,,4.2
03-10-23,2003,10,23,,13.9,,8,,11,,7,,0,,0,,0,,0
03-10-24,2003,10,24,,12.4,,6.6,,9.5,,8.5,,0,,0,,0,,0
03-10-25,2003,10,25,,12.4,,5.3,,8.9,,9.1,,0,,0,,0,,0
03-10-26,2003,10,26,,11.1,,5.4,,8.3,,9.7,,0,,0,,0,,0
03-10-27,2003,10,27,,13.1,,7.1,,10.1,,7.9,,0,,0,T,0,,0
